"如果旅客是长沙到香港的航班,持L签可以自由行出发。",只要符合航空公司规定的婴儿年龄，可凭有效证件原件（如护照、港澳通行证、台胞证等）购票乘机。婴儿票需到航空公司购买。,出生满14天的婴儿可凭户口簿、出生证明或其他有效证件原件（如护照、港澳通行证、台胞证等）购票乘机。婴儿票需到航空公司购买。
e.若旅客来电反映自助值机机器没有登机牌了可联系客运更换登机牌。,旅客在安检处落下的东西会在当天移交失物招领处。,"旅客由于特殊原因无法提供有效证件,可通过以下方式办理临时乘机证明。"
"尽管飞机发生意外风险的概率不高,但是一旦发生所带来的损失近乎毁灭性的,一份合适的航空意外险虽然无法阻止空难事件的发生,但是却可以在意外事故降临后,为受害人的家属提供尽可能多的经济补偿。所以坐飞机之前买一份合适的航空意外险是必要的。 国际航空意外险办理以后多久生效一般情况下,网上投保航空意外险将于日次零时生效,同时网上投保航空意外险操作便利,所以是目前投保航空意外险效率最高的一种投保方式,投保前您需要注意以下几点:1.一些飞机航班延误险规定,如果恶劣天气导致整个机场关闭的,则属于除外责任,保险公司将不负责赔偿。2.不同的境外旅行险产品,对于航班延误超过多少小时以上才能获得赔偿,有不同的规定。3.如果航班无限期延迟,境外旅行险中航班延误责任的赔偿金额并非相应地无限增加,而是会规定一个上限金额,条款中就会有明确约定。4.对于哪些原因导致的航班延误,才能获得保险理赔,主要也是看条款中的约定。 投保国际航空意外险之前您首先要弄清楚其生效时间,慧择网是提供专业、可靠航空意外险的最佳渠道,欢迎您前来综合对比选择和咨询。 百万商旅计划(空中飞人意外保障计划) 保障内容:*民航飞机意外身故保险金一百万元 低至:四十元/年 慧择“航空无忧”昆仑单次高额意外保障计划 保障内容:*客运民航意外残疾伤害、意外身故 一百万元 低至:六元/七天","尽管飞机发生意外风险的概率不高,但是一旦发生所带来的损失近乎毁灭性的,一份合适的航空意外险虽然无法阻止空难事件的发生,但是却可以在意外事故降临后,为受害人的家属提供尽可能多的经济补偿。所以坐飞机之前买一份合适的航空意外险是必要的。 国际航空意外险办理以后多久生效一般情况下,网上投保航空意外险将于日次零时生效,同时网上投保航空意外险操作便利,所以是目前投保航空意外险效率最高的一种投保方式,投保前您需要注意以下几点:1.一些飞机航班延误险规定,如果恶劣天气导致整个机场关闭的,则属于除外责任,保险公司将不负责赔偿。2.不同的境外旅行险产品,对于航班延误超过多少小时以上才能获得赔偿,有不同的规定。3.如果航班无限期延迟,境外旅行险中航班延误责任的赔偿金额并非相应地无限增加,而是会规定一个上限金额,条款中就会有明确约定。4.对于哪些原因导致的航班延误,才能获得保险理赔,主要也是看条款中的约定。 投保国际航空意外险之前您首先要弄清楚其生效时间,慧择网是提供专业、可靠航空意外险的最佳渠道,欢迎您前来综合对比选择和咨询。 百万商旅计划(空中飞人意外保障计划) 保障内容:*民航飞机意外身故保险金一百万元 低至:四十元/年 慧择“航空无忧”昆仑单次高额意外保障计划 保障内容:*客运民航意外残疾伤害、意外身故 一百万元 低至:六元/七天","购买航空意外险可以通过三种方式:机票搭售、机场购买和网上购买。机票搭售购买的话,通常价格便宜,保障也高,但是只限于当次乘坐飞机进行保障。而机场购买的保费比较高,如果出门后忘记购买保险,可以考虑通过机场购买。建议如果经常出差的话可以考虑网上购买商业航空意外险,不仅保费便宜,也可自由选择保障范围以及保障金额。而保障期限建议选择一年期的,这样可以免去反复缴费的麻烦,而且也更划算。长沙黄花机场T一航站楼,二千零一十八年五月十六日刚恢复启用;T一和T二分别位于磁浮机场站的两边,T一在北,T二在南。T一、T二航站楼安检区外通过磁浮连廊实现互相连通 (步行八分钟)。您也可以乘坐电瓶车往返T一与T二航站楼之间(四分钟)。"
 长沙黄花国际机场于1986年6月25日破土动工，1989年8月29日黄花机场首航.  现机场飞行区等级为4E级，拥有3.4万平方米的新航站楼，2.2万平方米的停车场，机场现有跑道长2600米以及等长的平行滑行道.2008年初修建第二条跑道，并延长第一条跑道为3200米．  有ILS、VOR/DME、NDB等通讯导航系统，以及先进、完善的地面安全和服务保障设备设施.  可保障波音737、747、757、767、777，空客300、320、330、340，麦道82、90等大型客机起降。  1990年，民航湖南省局职工总数已达1296人，拥有160人的空勤人员队伍，固定资产达12175万元，举凡客货运输、航行服务、导航通讯、气象保障、地面指挥等方面皆已趋向现代化。  1993年开通至曼谷的国际航班。在第三届亚太地区航行会议上长沙黄花机场被正式批准为国际定期航班机场。长沙黄花国际机场目前已开通航线56条，可通往全国45个大中城市及香港、澳门地区、曼谷。从1990年至1998年，旅客发运量平均以 26.8%的速率递增，货邮行发运量平均以23.5%的速率递增。1998年，全省共发运旅客1021606人，货邮行10485.2吨，与1957年相比，分别增长2877倍和21倍，民用航空运输事业在社会发展中的地位和作用日显重要。投资4.04亿元、建筑面积3.3万平米的长沙黄花机场第二代航站楼已于2000年10月 28日正式完工，形成年接纳450万名旅客出入机场的能力，服务保障能力也将更为完备。湖南民航已初步形成以长沙、张家界、常德三大机场为核心的航空网络，基本满足社会日益增长的需要，为湖南经济的发展作出了贡献。  现已经开通到韩国首尔，清州等国际旅游包机．  2009年1月15日 开通长沙-台北 航班（厦门航空执航）  机场代码  长沙黄花机场三字码：CSX  长沙黄花机场四字码：ZGHA  经国内外知名专家多轮评审并经省委、省政府批准，长沙黄花国际机场新航站楼设计方案近日敲定。新航站楼建筑面积16.3万平方米，是现有航站楼的近5倍。计划今年年底动工建设，2010年上半年竣工投入使用。图为黄花机场新航站楼鸟瞰图（湖南省建筑设计院、英国阿特金斯顾问有限公司设计）。新航站楼看起来像一个波浪式半岛。  备受社会各界关注的黄花国际机场新航站楼设计方案，经过专家多轮评审并于近日获省委、省政府审定。省机场扩建工程建设指挥部相关负责人透露，新航站楼总建筑面积为16.3万平方米，总投资约15亿元。计划今年年底正式动工建设，2010年上半年全面竣工并投入使用。  扩建航站楼势在必行  长沙机场1989年建成通航，目前开通了直达全国50个大中城市的75条航线，并开通了长沙－韩国首尔、清洲、大邱，长沙－香港、曼谷、经澳门至台湾的6条航线，有19家航空公司在湖南执行航班飞行。  据省机场扩建工程建设指挥部相关负责人介绍，现有航站楼由加拿大B＋H公司设计，寓意“千帆竞发，百舸争流”，于1998年9月28日动工兴建，2000年9月28日投入使用，总建筑面积为3.6万平方米。近年来，随着湖南社会经济的快速发展，机场的客货吞吐量快速增长。1993年，黄花机场跻身全国20大航空港之列，成为国际定期航班机场。2006年旅客吞吐量已达到660万人次，在中部六省排名第一。但长沙机场现有候机楼的设计容量仅为460万人次，机场停机坪现有停机位19个，目前典型高峰小时停放飞机达到27架次。现有跑道长2600米，仅能起降中小型飞机。现有航站楼无论是机场的规模、设施设备条件，还是候机楼面积都排在中部六省之末，在国内处于落后状态，已经无法满足快速增长的航空客货需要、适应湖南社会经济的发展。  新航站楼展示湖南门户形象  省建设厅相关负责人透露，长沙机场新航站楼方案设计面向国际招标，共有9家中外联合体入围参与设计，最后中标单位为湖南省建筑设计院和英国阿特金斯顾问有限公司。  专家认为，新航站楼正对新修的机场高速公路，配合完善的陆侧交通组织，能展示省会长沙乃至整个湖南的门户形象。  “半岛式的新航站楼构型简洁、紧凑、实用，用地节省，符合长沙机场实际情况。”专家介绍，75％的近机位，旅客最长步行距离不到300米，符合以人为本的设计原则。取意“旭日东升、千帆竞渡、百舸争流”，较好地体现了地域特色，展现了现代化、国际化的航空港形象。  相关专家介绍，新航站楼功能布局合理，进出港流程简洁明确，适度宜人的空间尺度，既符合国际民航组织的标准，又留有适当的发展空间，体现了舒适、快捷、方便的人性化设计理念。“采用双层玻璃幕墙结合遮阳系统，科学分配空间减小体型系数可达到成倍节能的目的。配合楼前景观水体设计建立雨水收集系统，符合环保、节约要求。”  计划2010年上半年投入使用  省机场扩建工程建设指挥部相关负责人透露，新航站楼总工期大约为两年半时间，计划今年年底动工建设，2010年上半年全面竣工并正式投入使用。届时，黄花国际机场将以崭新的面貌出现在国内外旅客面前。  新航站楼建设面积为地上10.7万平方米，新增两层共5.6万平方米地下车库及设备商业用房，总建筑面积达16.3万平方米。鉴于长沙机场有机场高速和长永高速两条机场进出口道路，并涉及过境的社会车辆，此次改建在新航站楼出口处新增立交桥一座，目前立交桥建设方案已委托长沙市规划设计院设计并最终敲定。  长沙机场现有跑道只有2600米，无法起降大型飞机。此次机场扩建的主要内容包括将2600米跑道延长至3200米，增设4条快速出口滑行道，扩建停机坪21.3万平方米，新建国际厅9892平方米，改造原有国际厅3500平方米。截至目前，首期 14.8万平方米停机坪正在抓紧道面混凝土浇注施工，本月底可完成验收并交付使用。新建和改造国际厅两大项目主体完工，正进入装修和设备安装调试阶段，计划今年10月建成并投入使用。,"估计长沙黄花机场的小车过夜停车价格是五十至一百元一天吧?时间长点的一般都不会选择机场停车场,在航站楼附近有一家“红利停车场”是专供小车过夜停车的应该是机场附近距离最近的大型停车场了。你可以咨询下,我停过几次。",一、T二航站楼位于T二航站楼到达层共设立十二个站牌现已启用九个站牌二、T一航站楼位于T一航站楼到达层共设立五个站牌
"一、航班起飞前四十分钟开始登机,航班起飞前十五分钟停止登机,开始登机时机场中央大广播会自动播放登机广播,主要是催促已经办理值机手续但还未过安检的旅客尽快过安检,开始登机后登机口也会有相应区域广播,主要是航班动态、登机口变更以及催促旅客登机广播,该广播覆盖范围有限,若旅客离开登机口则有可能听不到。若旅客来电质疑没有听到广播通知,中央大广播记录可联系广播室查询,登机口区域广播可联系候机查询,但广播录音均不可对外。",国际出港流程：          确认航班所在航站楼――办理乘机手续――行李托运――检验检疫及海关检查――边防检查――安全检查――登机口候机及登机。祝您旅途愉快！,"一、航班起飞前四十分钟开始登机,航班起飞前十五分钟停止登机,开始登机时机场中央大广播会自动播放登机广播,主要是催促已经办理值机手续但还未过安检的旅客尽快过安检,开始登机后登机口也会有相应区域广播,主要是航班动态、登机口变更以及催促旅客登机广播,该广播覆盖范围有限,若旅客离开登机口则有可能听不到。若旅客来电质疑没有听到广播通知,中央大广播记录可联系广播室查询,登机口区域广播可联系候机查询,但广播录音均不可对外。"
"一、航班起飞前四十分钟开始登机,航班起飞前十五分钟停止登机,开始登机时机场中央大广播会自动播放登机广播,主要是催促已经办理值机手续但还未过安检的旅客尽快过安检,开始登机后登机口也会有相应区域广播,主要是航班动态、登机口变更以及催促旅客登机广播,该广播覆盖范围有限,若旅客离开登机口则有可能听不到。若旅客来电质疑没有听到广播通知,中央大广播记录可联系广播室查询,登机口区域广播可联系候机查询,但广播录音均不可对外。","有效乘机身份证件的种类包括:中国大陆地区居民的居民身份证、临时居民身份证、护照、军官证、文职干部证、义务兵证、士官证、文职人员证、职工证、武警警官证、武警士兵证、海员证,香港、澳门地区居民的港澳居民来往内地通行证,台湾地区居民的台湾居民来往大陆通行证;外籍旅客的护照、外交部签发的驻华外交人员证、外国人永久居留证;民航局规定的其他有效乘机身份证件。十六周岁以下的中国大陆地区居民的有效乘机身份证件,还包括出生医学证明、户口簿、学生证或户口所在地公安机关出具的身份证明。",1）中国大陆籍乘客的居民身份证、护照、港澳通行证、军官证、武警警官证、士兵证、军队学员证、军队文职干部证、军队离退休干部证和军队职工证。16岁以下未成年人可凭其学生证和户口簿或户口所在地公安机关出具的身份证明登机；2）港、澳地区居民和台湾同胞的回乡证、台胞证；3）外籍乘客的护照、旅行证、外交官证等；4）民航总局规定的其他有效登机身份证件。
除了海航的A舱和南航外的其他航空公司的折扣头等舱都可以享受地面贵宾厅服务。,航班延误不论什么原因，目前大部分航司都支持免费退改签，若旅客行程紧急，可建议旅客前往航司相应柜台改签，退票需要联系原售票处，目前大部分航司都支持网上下载航班延误证明。,如您购票后申请退票，我们将根据客票使用条件办理。自愿退票应在客票有效期内到原购票地点办理。在网上购买的电子客票，应在网上办理退票申请手续。
"长沙机场出发航班除春秋航空，西部,九元航空外，一般国内航班行李标准（春秋、西部、九元航空的航班，随身携带的行李标准都为7公斤内尺寸不超20*30*40CM，托运行李尺寸不得超过40CM×60CM×100 CM，免费托运行李额根据旅客购买客票种类进行区分）：",旅客托运行李内部分物品丢失：目的地为长沙的航班，旅客未出机场隔离区可以建议旅客跟行李查询室联系，离开机场建议旅客联系公安机关报案处理；长沙始发的航班建议旅客联系到达机场。旅客托运行李未随机到达，若是落地长沙的航班可记录行李单号及航班号至行李查询处查询。旅客行李破损未离开机场前可直接联系行李查询处进行理赔，理赔标准以航司为准。,小件寄存地址:T1航站楼位于到达层4号门旁边，T2航站楼位于到达层8号门旁边。T1/T2自助行李寄存箱子尺寸:大箱可放24-32寸行李箱，中箱可放20-24寸行李箱，小箱可放18-20寸行李箱，计费规则：小箱：15元/12小时/次，中箱：20元/12小时/次，大箱30元/12小时/次。行李寄存服务时间：每天上午7：00-22:00（21:30后不再接受寄存服务），24小时客服电话4009316168注意：行李寄存现场无人值班，需要旅客现场按铃呼叫安检工作人员前来开门。
2、自助值机柜台只能刷二代身份证办理登机手续，若用其他有效证件购票，须手动输入相应有效证件的号码。自助值机终端无法办理有绑定婴儿旅客的其他旅客的登机牌。,如果旅客要求取消值机，一般情况下旅客值机在哪办理就在哪取消。若旅客人在机场可提供乘机人身份证原件和登机牌到机场开放的值机柜台取消值机，若旅客已经离开机场，可告知旅客正常情况下24小时候会自动取消登机状态，若超过24小时仍未取消可记录旅客姓名证件号码以及航班信息由坐席员联系值机取消。,因为您行程中XX航段承运人未通过系统发布逾重行李收费政策，我们在系统中无法查询到该承运人逾重行李收费标准。所以，建议您电话咨询该承运人逾重行李的相关政策，并请您提前到达机场值机柜台，预留足够的时间办理XX航段行李托运手续。
"孕妇旅客:是指已经怀孕但在预产期前四周乘坐飞机的准妈妈。怀孕八个月(三十二周)或不足八个月的孕妇,除医生诊断不适宜乘机外,可按一般旅客运输;孕妇乘机时需要携带诊断证明,内容包括孕妇姓名、年龄、孕期、健康状况等说明;如果旅客表示医院不愿开具证明的,建议旅客与航空公司联系,航空公司同意旅客乘坐即可;怀孕八个月(三十二周)以上的孕妇建议使用其他交通工具,航空公司会拒绝承运。安检门和检查设备都是符合国家安全标准的,旅客可以放心接受检查;它通过感应寄生电流及均化磁场的数字信号处理方式获得很高的分辨,但发射磁场厚度很低,对心脏起搏器佩带者、孕妇、体弱者、磁性媒质(U盘、信用卡等)和其他电子装置均无害,广大旅客通过安全门时尽可放心接受检查;如果孕妇旅客仍然担心安检仪器的辐射,可以现场申请手动检查。","如果旅客是长沙到香港的航班,持L签可以自由行出发。",T1、T2、T3航站楼出发厅及到达大厅多处设立 立式充电桩“充电吧”，及充电宝自助租赁设备方便旅客随时使用。祝您旅途愉快！
