方案一（机场-酒店-西站-张家界）：1、黄花机场乘座机场巴士到长沙民航大酒店（45分钟）；也可以从长沙黄花机场直接打出租车到长沙汽车西站，50分钟；2、从长沙民航大酒店乘车至长沙汽车西站（30分钟左右，312路公交车3元，出租车30元左右）；3、长沙汽车西站乘车直张家界市区中心汽车站（3.5小时，119元/位）。方案二（机场-酒店-火车站-张家界）：1、长沙黄花机场乘座机场巴士到长沙民航大酒店（45分钟）；也可以从长沙黄花机场直接打出租车到长沙民航大酒店，打出租车约100元，50分钟；2、长沙民航大酒店步行五分钟至长沙火车站（公交车1元，的士3元）；3、长沙火车站乘火车至张家界火车站（见图）。一共8趟列车，请你提前规划好，k810时间比较好，而且54.4一张，最便宜的了。希望以上信息能帮到你，请采纳，谢谢,"长沙航空口岸正式开办签证业务,这意味着今后外国人来湖南可以直接在长沙黄花国际机场办理落地签证。",长沙黄花机场到五一广场附近怎么走，大概价格多少？用时多久？
"不能提前那么多时间换,只能提前二个半小时一般换完登机牌就可以直接过安检,但是飞机起飞前半小时是停止换登机牌的建议还是早点过去成都双流国际机场候机楼开放时间从早上四:三十提前至四:零,所有国内出港航班的旅客登机手续的办理,也由以前航班起飞前两个小时开办,提前到两个半小时,此项举措不针对国际(地区)出港航班的旅客。",可以登录航空公司网站，提前选定机上座位，自行打印“网上值机登机牌”。到达机场后凭“网上值机登机牌”和有效证件就可直接前往安检、登机口登机。,长沙黄花机场到五一广场附近怎么走，大概价格多少？用时多久？
"购买航空意外险可以通过三种方式:机票搭售、机场购买和网上购买。机票搭售购买的话,通常价格便宜,保障也高,但是只限于当次乘坐飞机进行保障。而机场购买的保费比较高,如果出门后忘记购买保险,可以考虑通过机场购买。建议如果经常出差的话可以考虑网上购买商业航空意外险,不仅保费便宜,也可自由选择保障范围以及保障金额。而保障期限建议选择一年期的,这样可以免去反复缴费的麻烦,而且也更划算。长沙黄花机场T一航站楼,二千零一十八年五月十六日刚恢复启用;T一和T二分别位于磁浮机场站的两边,T一在北,T二在南。T一、T二航站楼安检区外通过磁浮连廊实现互相连通 (步行八分钟)。您也可以乘坐电瓶车往返T一与T二航站楼之间(四分钟)。","购买航空意外险可以通过三种方式:机票搭售、机场购买和网上购买。机票搭售购买的话,通常价格便宜,保障也高,但是只限于当次乘坐飞机进行保障。而机场购买的保费比较高,如果出门后忘记购买保险,可以考虑通过机场购买。建议如果经常出差的话可以考虑网上购买商业航空意外险,不仅保费便宜,也可自由选择保障范围以及保障金额。而保障期限建议选择一年期的,这样可以免去反复缴费的麻烦,而且也更划算。长沙黄花机场T一航站楼,二千零一十八年五月十六日刚恢复启用;T一和T二分别位于磁浮机场站的两边,T一在北,T二在南。T一、T二航站楼安检区外通过磁浮连廊实现互相连通 (步行八分钟)。您也可以乘坐电瓶车往返T一与T二航站楼之间(四分钟)。","尽管飞机发生意外风险的概率不高,但是一旦发生所带来的损失近乎毁灭性的,一份合适的航空意外险虽然无法阻止空难事件的发生,但是却可以在意外事故降临后,为受害人的家属提供尽可能多的经济补偿。所以坐飞机之前买一份合适的航空意外险是必要的。 国际航空意外险办理以后多久生效一般情况下,网上投保航空意外险将于日次零时生效,同时网上投保航空意外险操作便利,所以是目前投保航空意外险效率最高的一种投保方式,投保前您需要注意以下几点:1.一些飞机航班延误险规定,如果恶劣天气导致整个机场关闭的,则属于除外责任,保险公司将不负责赔偿。2.不同的境外旅行险产品,对于航班延误超过多少小时以上才能获得赔偿,有不同的规定。3.如果航班无限期延迟,境外旅行险中航班延误责任的赔偿金额并非相应地无限增加,而是会规定一个上限金额,条款中就会有明确约定。4.对于哪些原因导致的航班延误,才能获得保险理赔,主要也是看条款中的约定。 投保国际航空意外险之前您首先要弄清楚其生效时间,慧择网是提供专业、可靠航空意外险的最佳渠道,欢迎您前来综合对比选择和咨询。 百万商旅计划(空中飞人意外保障计划) 保障内容:*民航飞机意外身故保险金一百万元 低至:四十元/年 慧择“航空无忧”昆仑单次高额意外保障计划 保障内容:*客运民航意外残疾伤害、意外身故 一百万元 低至:六元/七天"
方案一直接在磁悬浮列车坐到高铁站，然后不需要出站坐2号线到五一广场站下车即可方案二或者坐机场大巴直接抵达火车站附近再坐地铁到五一广场（机场大巴很方便，运营到没有航班为止。价格去火车站是17.5吧西站23？具体多少忘了）方案三打车（贵，不划算）??,各个机场的规定不同，例如：长沙黄花机场三号航站楼的国内航班在航班起飞前45分钟停止办理登机手续，一号和二号航站楼的各航班为航班起飞前30分钟停止办理。为避免误机，建议您至少提前2个小时到达机场办理登机手续。,国内航班建议您提前2小时到达机场办理乘机手续，飞机起飞前45分钟停止办理乘机手续，提前15分钟关闭舱门。
"一、航班起飞前四十分钟开始登机,航班起飞前十五分钟停止登机,开始登机时机场中央大广播会自动播放登机广播,主要是催促已经办理值机手续但还未过安检的旅客尽快过安检,开始登机后登机口也会有相应区域广播,主要是航班动态、登机口变更以及催促旅客登机广播,该广播覆盖范围有限,若旅客离开登机口则有可能听不到。若旅客来电质疑没有听到广播通知,中央大广播记录可联系广播室查询,登机口区域广播可联系候机查询,但广播录音均不可对外。","一、航班起飞前四十分钟开始登机,航班起飞前十五分钟停止登机,开始登机时机场中央大广播会自动播放登机广播,主要是催促已经办理值机手续但还未过安检的旅客尽快过安检,开始登机后登机口也会有相应区域广播,主要是航班动态、登机口变更以及催促旅客登机广播,该广播覆盖范围有限,若旅客离开登机口则有可能听不到。若旅客来电质疑没有听到广播通知,中央大广播记录可联系广播室查询,登机口区域广播可联系候机查询,但广播录音均不可对外。",目前，境外旅客凭销售发票和购物离境退税申请单，就可以直接在长沙黄花国际机场、张家界荷花国际机场进行海关验核后办理退税。
七、港澳台及外籍旅客如护照丢失要乘坐飞机不能在办证处办理证件,国航对老年人的年龄没有限制，但前提是旅客的身体健康适于乘坐飞机，且建议有健康成年人陪同乘坐,临时乘机证明是只能是仅限于乘坐飞机时有效。
您可查询相应订单，选择已申请退票的旅客和航段，查看退票申请单状态可知退票处理进展。需要提醒的是，退票申请一旦提交，不可撤销。,如果航班时间变动，或因机型变动造成不能提供原来等级的舱位，南航会尽量根据您的意愿为您改签，如果您不接受，可以按非自愿退票处理。,由于旅客原因发生漏乘，按自愿退票的规定办理。由于南航原因造成旅客漏乘，南航会早安排旅客乘坐后续航班成行，如旅客要求退票，按非自愿退票的有关规定办理。
电器类物品可以托运，要收费托运，不在免费行李额内，每公斤按经济舱原票价的1.5%收费。祝您旅途愉快。,"3.乘坐(祥鹏)航班的旅客托运行李发生丢失、破损、晚到等情况时,可到行李提取大厅东祥鹏航空行李查询中心查询。",因为您行程中XX航段承运人未通过系统发布逾重行李收费政策，我们在系统中无法查询到该承运人逾重行李收费标准。所以，建议您电话咨询该承运人逾重行李的相关政策，并请您提前到达机场值机柜台，预留足够的时间办理XX航段行李托运手续。
您可以自行上网取消座位或致电东航95530客服热线，详情请见《网上值机开通城市的客服热线》。,可以登录航空公司网站，提前选定机上座位，自行打印“网上值机登机牌”。到达机场后凭“网上值机登机牌”和有效证件就可直接前往安检、登机口登机。,可选尺寸
长沙黄花机场到五一广场附近怎么走，大概价格多少？用时多久？,"二、旅客凭手机上的电子二维码和有效身份证件完成安检验证手续。    旅客通过安检验证后,电子二维码会自动加注安检验讫电子章。","在手机上下载存储了旅客信息和航班信息的二维条形码,到达昆明机场后,安检工作人员通过扫描手机二维码,打印登机凭证,加盖安检验讫章,旅客凭有效登机凭证可顺利登机。(在没有托运行李的情况下,在安检机器可以扫出旅客个人信息的情况下)"
