"25.长水机场什么时候开始使用的?经中国民用航空局批准,昆明长水国际机场二千零一十二年六月二十八日八:零正式启用,昆明巫家坝国际机场同时停用。","除了深圳机场,还有广州白云国际机场、揭阳潮汕机场、粤西国际机场、湛江机场、梅州机场、惠州机场。广东省共有七个机场,相对信息分别是:1.广州白云国际机场。地处广州市白云区人和镇和花都区新华街道、花东镇交界处。2.揭阳潮汕机场。机场位于揭阳市榕城区登岗镇。3.粤西国际机场。位于广东省湛江市吴川市塘缀镇合山村。4.湛江机场。位于广东省湛江市西郊,原称西厅机场,距湛江市中心五公里。5.梅州机场。位于广东省梅州市梅江区三角镇长岗岌,距市区中心四km。6.惠州机场。距惠州市中心约二十公里,占地三千六百多亩。7.深圳宝安国际机场。位于中国深圳市宝安区、珠江口东岸。所以除了深圳机场,还有广州白云国际机场、揭阳潮汕机场、粤西国际机场、湛江机场、梅州机场、惠州机场。扩展资料:广州白云国际机场(Guangzhou Baiyun International Airport,ICAO:ZGGG,IATA:CAN),是位于中国广东省广州市北部约二十八公里的民用机场,地处广州市白云区人和镇和花都区新华街道、花东镇交界处。地理位置为北纬二十三°十′35.72″,东经一百一十三°十五′17.13″,机场飞行区等级为四F级,是中国三大门户复合枢纽机场之一 ,世界前百位主要机场 。机场前身为民国二十一年(一千九百三十二年)始建的旧白云机场。一千九百六十三年,名称变为“广州白云国际机场”。 二千零四年八月五日,新广州白云国际机场正式启用。 二千零一十五年二月,广州白云国际机场第三跑道投入使用。","婴儿票:出生十四天,未满二周岁。按全票价的十%购买,无机场建设费和燃油费,一个大人只能带一个婴儿,如一个以上买儿童票(无免额行李)。"
柜台值机:1、昆明机场出港的国内航班在航班起飞前5小时开始办理，航班起飞前45分钟停止办理（建议旅客提前2-3小时到机场办理）。自助值机在飞机离站前45分钟截止。2、国内航班登机口在飞机计划起飞前15分钟关闭。东航、上航、联航，登机口在航班计划起飞前15-20分钟关闭，具体以现场为准。3、国际航班具体您跟航空公司咨询，因为每个航空公司规定是不一样的。4、昆明机场出港的国内航班必须要出示有效证件的原件才能过安检。复印件不能够作为乘机凭证。,昆明机场“无纸化”便捷出行服务仅支持昆明始发国内航班无托运行李的普通旅客，有托运行李、携带婴儿、儿童、中转联程、无人陪伴及其他特殊旅客，请提前到昆明机场相应柜台办理纸质登机牌和行李托运手续。,昆明机场“无纸化”操作流程。8月15日起，昆明长水机场正式推行“无纸化”便捷出行服务。除春秋航空、九元航空和南方航空外，乘坐国内航班的旅客在进行安全检查和登机时，只需出示手机上的二维码电子登机牌，就可以便捷出行（具体操作以现场为准）1、旅客提前通过“航旅纵横”APP等官方渠道、云南机场集团微信公众号、昆明长水国际机场微信公众号多个渠道进行手机值机，值机成功后生成电子二维码登机牌。  2、旅客凭手机上的电子二维码和有效身份证件完成安检验证手续。    旅客通过安检验证后，电子二维码会自动加注安检验讫电子章。  3、旅客登机时，出示已加注安检电子验讫章的电子二维码扫码登机。  4、“无纸化”旅客登机业务（近机位航班）     旅客持电子登机牌登机，登机口通过航信通设备扫描电子登机牌，地面服务工作人员将旅客信息与登机口控制系统信息进行比对，同时廊桥监护人员复核旅客安检电子验讫章，无误后旅客登机，系统自动统计登机人数  5、“无纸化”旅客登机业务（远机位航班）     旅客持电子登机牌登机，登机口通过航信通设备扫描电子登机牌，地服人员将旅客信息与登机口控制系统信息进行比对，确认无误后，地服人员向每位 “无纸化”旅客发放一张“远机位登机复核牌”随后乘坐摆渡车至停机位，到达机位后，地服人员回收“旅客远机位登机复核牌”用于人数统计，旅客登机；机下监护人员承担“无纸化”乘机旅客安检验讫章查验职责，其他方式乘机的旅客监护人员正常查验安检验讫章。
"尽管飞机发生意外风险的概率不高,但是一旦发生所带来的损失近乎毁灭性的,一份合适的航空意外险虽然无法阻止空难事件的发生,但是却可以在意外事故降临后,为受害人的家属提供尽可能多的经济补偿。所以坐飞机之前买一份合适的航空意外险是必要的。   国际航空意外险办理以后多久生效一般情况下,网上投保航空意外险将于日次零时生效,同时网上投保航空意外险操作便利,所以是目前投保航空意外险效率最高的一种投保方式,投保前您需要注意以下几点:1.一些飞机航班延误险规定,如果恶劣天气导致整个机场关闭的,则属于除外责任,保险公司将不负责赔偿。2.不同的境外旅行险产品,对于航班延误超过多少小时以上才能获得赔偿,有不同的规定。3.如果航班无限期延迟,境外旅行险中航班延误责任的赔偿金额并非相应地无限增加,而是会规定一个上限金额,条款中就会有明确约定。4.对于哪些原因导致的航班延误,才能获得保险理赔,主要也是看条款中的约定。      投保国际航空意外险之前您首先要弄清楚其生效时间,慧择网是提供专业、可靠航空意外险的最佳渠道,欢迎您前来综合对比选择和咨询。    百万商旅计划(空中飞人意外保障计划) 保障内容:*民航飞机意外身故保险金一百万元      低至:四十元/年     慧择“航空无忧”昆仑单次高额意外保障计划 保障内容:*客运民航意外残疾伤害、意外身故 一百万元      低至:六元/七天","只能去民航投诉航空公司。之前有个航空公司,就是拒绝身体有残疾的乘客乘机,理由是公司规定不能与乘客有肢体接触。乘坐轮椅的残疾人想坐飞机,却被航空公司以“不能行走”为由拒绝。对此,律师表示,航空公司这一行为涉嫌违反我国《残疾人保障法》、《合同法》及《残疾人航空运输办法(试行)》等法律法规,应承担相应的责任。","按照有关规定,醉酒旅客不得乘坐民航客机,这主要是为旅客自身的安全考虑。首先酒后乘机对乘机者健康不利,酒后高空飞行易突发心脑血管疾病;其次醉酒乘客行为失常,不易控制自己的行为,对客舱其他旅客的安全构成隐患。所以,旅客如果准备坐飞机出行,应慎饮酒。如果旅客已经喝了很多酒,请联系机场医务处,医生将检查该旅客是否适合登机,或者采取解酒措施。(建议旅客具体咨询航空公司以航空公司为准)"
"通过九万五千五百八十三订购并且电话支付出票的,国航实际承运的北京,南京,虹桥,大连,哈尔滨始发的国内航班(国际国内联程国内段不能办理,ca四千一百八十八不能办理,婴儿、儿童、残病旅客及需要特殊服务的旅客除外)(国际航班国内段、ca四千一百八十八、婴儿、儿童、残病旅客及需要特殊服务的旅客、紧急出口处的座位均不能办理电话值机)","可以考虑以下原因:1. 搭乘航班可能为航空公司或旅行社的包机航班。如为包机航班,出行当日可在“航班”页面中查询航班状态。如需要查询过往航班信息,请咨询相关航空公司或旅行社。2. 预定当日起飞的航班,因某种原因延迟至第二天或之后时,航班号有可能发生变更。如遇此种情况,请向相关航空公司咨询详情。","旅客应联络所选用的旅行社或航空公司,查询香港至某特定航点的航班时间表及机票价格。"
"搭乘国际航班,从日本出境时,对随身携带的液体物品有限制。搭乘国内航班时,则没有对于液体携带的限制。","可以考虑以下原因:1. 搭乘航班可能为航空公司或旅行社的包机航班。如为包机航班,出行当日可在“航班”页面中查询航班状态。如需要查询过往航班信息,请咨询相关航空公司或旅行社。2. 预定当日起飞的航班,因某种原因延迟至第二天或之后时,航班号有可能发生变更。如遇此种情况,请向相关航空公司咨询详情。","最短中转时间视乎航空公司及航点而定,请向所选乘的航空公司查询详情。相关网页:转机/过境程序"
"一)中国旅客购票时,须凭本人居民身份证、护照或其它有效身份证件。儿童或婴儿可凭有出生年月的有效证明如户口簿、出生证等证件购票。二)外国旅客、华侨、港、澳、台胞购票,须凭有效护照、回乡证、台胞证、居留证、旅行证或公安机关出具的其它有效身份证件。如果该旅客持有国内颁发的有效身份证件,请输入与证件相同的中文姓名。",一)中国大陆籍乘客的居民身份证、护照、港澳通行证、军官证、武警警官证、士兵证、军队学员证、军队文职干部证、军队离退休干部证和军队职工证。十六岁以下未成年人可凭其学生证和户口簿或户口所在地公安机关出具的身份证明登机;二)港、澳地区居民和台湾同胞的回乡证、台胞证;三)外籍乘客的护照、旅行证、外交官证等;四)民航总局规定的其他有效登机身份证件。,"一、中国大陆地区居民的居民身份证、临时居民身份证、护照、军官证、文职干部证、义务兵证、士官证、文职人员证、职工证、武警警官证、武警士兵证、海员证、香港、澳门地区的港澳居民来往内地通行证、台湾地区居民的台湾居民来往大陆通行证; 港澳台居民可以使用港澳台居民居住证,外籍旅客的护照、外交部签发的驻华外交人员证、外国人永久居留证;民航局规定的其他有效乘机身份证件。"
"如果航班时间变动,或因机型变动造成不能提供原来等级的舱位,南航会尽量根据您的意愿为您改签,如果您不接受,可以按非自愿退票处理。","您可查询相应订单,选择已申请退票的旅客和航段,查看退票申请单状态可知退票处理进展。需要提醒的是,退票申请一旦提交,不可撤销。","由于旅客原因发生漏乘,按自愿退票的规定办理。由于南航原因造成旅客漏乘,南航会早安排旅客乘坐后续航班成行,如旅客要求退票,按非自愿退票的有关规定办理。"
"你在托运行李中超过客票所规定的免费行李额，须交纳逾重行李费，国内航班逾重行李费率以每公斤按经济舱全票价的1.5%计算，国际航班逾重行李费率和计算方法请问询各航空公司（比如春秋、联合航空,西部、祥鹏、天津等、属于差异化服务，民航总局标准他们不会严格执行）","每位旅客的免费托运行李额：持成人或儿童票的头等舱旅客为40公斤；公务舱旅客为30公斤；经济舱为20公斤；持婴儿票的旅客，无免费行李额。（比如春秋、联合航空,西部、祥鹏、天津等属于差异化服务，民航总局标准他们不会严格执行）如旅客要行李合并计算（具体以航空公司为准）         天津航空：空旅客差异化服务，根据购票金额将享受不同额度的免费托运行，经济舱没有免费餐食。建议旅客跟航空公司咨询 首都航空：免费行李额度跟餐食是根据折扣来定的，过低的折扣是没有餐食 免费托运行李的。具体以航空公司为准。 福州航空：经济舱没有免费餐食，托运行李额度根据折扣来定，折扣低的情况下是没有免费托运行李。具体以航空公司为准（随身行李5公斤） 江西航空：行李额度根据机票折扣来决定，折扣过低没有免费托运行李，行李要收费的。预付费行李要提前去航空公司官网购买","国内航班：托运行李每件不得超过20公斤，体积长、宽、高不得超过40×60×100厘米，不能将贵重物品（电脑、珠宝、名包、古董、现金、相机、IPAD、INPHONE）等放置在托运行李中。（比如春秋、联合航空,西部、祥鹏，天津、福州、江西、首航属于差异化服务，民航总局标准他们不会严格执行）。"
国内自助值机区域。应急柜台：距离航班计划起飞时间1小时至航班计划起飞前45分钟之外的旅客可在应急柜台办理值机或补托运行李。D01-D07 柜台，调整为补托行李柜台。为完成网上值机或完成自助值机旅客进行行李补托运手续；D08-D09 柜台，调整为爱心/应急柜台。为老人、小孩、着急旅客及因设备原因无法完成网络或自助值机的旅客办理乘机手续；D10 柜台，调整为应急柜台，负责处理晚到旅客并执行应急柜台的相应工作职责；D11-D19 柜台，调整为补托行李柜台。为完成网上值机或完成自助值机旅客进行行李补托运手续；D20 柜台，调整为值班主任/后补柜台。执行值机主任柜台的相应工作职责；E01-E03 柜台，柜台资源不变。保留为 VIP 及两舱旅客柜台；E04-E08 柜台，调整为团队补托运行李柜台。为完成网上值机或完成自助值机的团队旅客进行行李补托运手续。其中，E04-E05 柜台将根据春秋航空航班时刻进行调整，做为春秋航空值机手续办理柜台；E09 柜台，调整为大巴专用柜台。负责为大巴旅客办理值机手续；E10 柜台，柜台资源不变。仍做为特殊旅客及军人依法优先办理柜台。旅客无法完成自助值机，指引旅客至旅客D08-D10 柜台进行处理。,川航值机：C区川航柜台，值机柜台在C16--C20办理手续,东航、上航值机：F区、E区、国内航班值机柜台
昆明机场“无纸化”操作流程。8月15日起，昆明长水机场正式推行“无纸化”便捷出行服务。除春秋航空、九元航空和南方航空外，乘坐国内航班的旅客在进行安全检查和登机时，只需出示手机上的二维码电子登机牌，就可以便捷出行（具体操作以现场为准）1、旅客提前通过“航旅纵横”APP等官方渠道、云南机场集团微信公众号、昆明长水国际机场微信公众号多个渠道进行手机值机，值机成功后生成电子二维码登机牌。  2、旅客凭手机上的电子二维码和有效身份证件完成安检验证手续。    旅客通过安检验证后，电子二维码会自动加注安检验讫电子章。  3、旅客登机时，出示已加注安检电子验讫章的电子二维码扫码登机。  4、“无纸化”旅客登机业务（近机位航班）     旅客持电子登机牌登机，登机口通过航信通设备扫描电子登机牌，地面服务工作人员将旅客信息与登机口控制系统信息进行比对，同时廊桥监护人员复核旅客安检电子验讫章，无误后旅客登机，系统自动统计登机人数  5、“无纸化”旅客登机业务（远机位航班）     旅客持电子登机牌登机，登机口通过航信通设备扫描电子登机牌，地服人员将旅客信息与登机口控制系统信息进行比对，确认无误后，地服人员向每位 “无纸化”旅客发放一张“远机位登机复核牌”随后乘坐摆渡车至停机位，到达机位后，地服人员回收“旅客远机位登机复核牌”用于人数统计，旅客登机；机下监护人员承担“无纸化”乘机旅客安检验讫章查验职责，其他方式乘机的旅客监护人员正常查验安检验讫章。,人脸识别智慧便捷出行。乘坐昆明机场始发的所有国内出港航班，持有效国内居民二代身份证的旅客，包括办理手机值机并获取电子登机牌旅客、持纸质登机牌旅客；不适用旅客包括身高低于1.3米的儿童，携带婴儿、乘坐轮椅、担架等其他特殊旅客。   分别选取国内6号、7号安检通道作为试点增设安检自助验证闸机，17号登机口、48号登机口作为试点增设自助登机验证闸机。旅客操作步骤：步骤一：办理值机。旅客通过航旅纵横APP、航旅纵横微信公众号、云南机场集团微信公众号、昆明机场微信公众号、瑞丽航空APP、瑞丽航空微信公众号、南方航空APP、南方航空微信公众号等渠道进行手机值机，值机成功后生成电子登机牌二维码信息，或在人工柜台、CUSS设备办理传统纸质登机牌。步骤二：安检自助验证。旅客刷国内居民二代身份证通过第一道闸机门。第一道门对比旅客的身份信息、乘机信息以及是否为特殊布控人员，验证成功后打开第一道门；验证失败旅客转入临近的安检人工通道按照正常的安检流程对旅客进行查验。第二道门采集旅客面部信息进行人证合一比对，验证通过旅客进入人身及随身行李安全检查环节。验证失败旅客退回到第一道门前端，转入临近安检人工通道按照正常的安检流程对旅客进行查验。,①　准备好登机牌，有效证件，并交给安检查验，为了飞行安全，您须从金属探测门通过，随身行李物品须X光机检查。
